CustomerID,Customer_Lifetime_Value,Coverage,Education,EmploymentStatus,Gender,Income,Location_Geo,Location_Code,Marital_Status,Monthly_Premium_Auto,Months_Since_Last_Claim,Months_Since_Policy_Inception,Number_of_Open_Complaints,Number_of_Policies,Policy_Type,Policy,Renew_Offer_Type,Sales_Channel,Total_Claim_Amount,Vehicle_Class,Vehicle_Size
5917,7824.372789,Basic,Bachelor,Unemployed,F,0,177777,Urban,Married,67,2,33,0,2,Personal Auto,Personal L2,Offer2,Branch,267.214383,Four-Door Car,2
2057,8005.964669,Basic,College,Employed,M,63357,288766,Suburban,Married,101,26,42,0,5,Personal Auto,Personal L2,Offer2,Agent,565.508572,SUV,2
4119,8646.504109,Basic,High School or Below,Employed,F,64125,216884,Urban,Married,108,3,44,0,3,Personal Auto,Personal L1,Offer2,Branch,369.818708,SUV,1
1801,9294.088719,Basic,College,Employed,M,67544,19725,Suburban,Married,116,2,15,0,3,Corporate Auto,Corporate L3,Offer1,Branch,556.8,SUV,3
9618,5595.971365,Basic,Bachelor,Retired,F,19651,191747,Suburban,Married,72,3,68,0,5,Personal Auto,Personal L1,Offer2,Web,345.6,Two-Door Car,3
2747,16570.09009,Extended,Bachelor,Employed,M,23589,19714,Suburban,Married,211,30,13,0,6,Special Auto,Special L2,Offer2,Agent,1012.8,Luxury SUV,3
3633,3653.703458,Extended,College,Employed,F,74126,286763,Suburban,Married,90,14,76,0,1,Corporate Auto,Corporate L3,Offer2,Call Center,478.751065,Two-Door Car,2
3856,11154.67599,Extended,Doctor,Employed,F,31409,173791,Urban,Married,93,10,50,0,2,Personal Auto,Personal L3,Offer1,Branch,381.960657,Four-Door Car,2
9005,4428.031583,Basic,High School or Below,Employed,F,58577,176785,Urban,Married,110,6,62,0,1,Personal Auto,Personal L3,Offer1,Agent,303.872752,SUV,2
5725,8382.630118,Basic,High School or Below,Retired,M,19683,132803,Suburban,Married,117,17,41,1,9,Corporate Auto,Corporate L1,Offer1,Web,561.6,Sports Car,2
10477,4198.02525,Basic,High School or Below,Employed,M,30598,286771,Suburban,Married,106,13,21,0,1,Personal Auto,Personal L2,Offer3,Agent,508.8,SUV,2
2270,3839.606117,Basic,Doctor,Unemployed,F,0,286763,Suburban,Divorced,112,3,51,2,1,Personal Auto,Personal L2,Offer1,Agent,537.6,SUV,2
10792,2860.111745,Basic,College,Employed,M,51159,129826,Rural,Married,72,4,61,0,1,Personal Auto,Personal L2,Offer2,Branch,4.238626,Four-Door Car,2
5845,2446.681538,Basic,High School or Below,Employed,F,44509,177773,Urban,Married,61,8,68,0,1,Personal Auto,Personal L2,Offer3,Call Center,226.731454,Four-Door Car,2
2962,12694.88894,Basic,High School or Below,Employed,F,73274,191721,Urban,Married,105,6,90,0,2,Corporate Auto,Corporate L3,Offer3,Branch,284.211516,SUV,2
901,5714.562292,Basic,Bachelor,Employed,F,74905,18475,Rural,Single,72,16,35,0,3,Personal Auto,Personal L3,Offer1,Call Center,167.028453,Four-Door Car,2
7176,4960.965384,Basic,College,Unemployed,M,0,128819,Suburban,Divorced,65,16,52,0,3,Personal Auto,Personal L3,Offer1,Agent,445.702958,Four-Door Car,2
1341,7218.085486,Basic,College,Unemployed,M,0,19718,Suburban,Single,104,29,4,0,3,Personal Auto,Personal L3,Offer3,Call Center,748.8,SUV,3
4915,8500.12195,Premium,College,Employed,M,88895,192715,Suburban,Single,108,24,86,0,8,Personal Auto,Corporate L3,Offer1,Call Center,532.8,Four-Door Car,2
10009,9559.340024,Extended,High School or Below,Employed,F,40672,19719,Suburban,Divorced,121,28,99,0,3,Corporate Auto,Corporate L3,Offer1,Call Center,580.8,SUV,2
10856,4540.9925,Basic,High School or Below,Employed,M,70340,233893,Suburban,Married,113,28,28,0,1,Personal Auto,Personal L2,Offer1,Agent,537.6,Sports Car,3
8999,7950.178237,Basic,Doctor,Employed,M,44818,187722,Suburban,Divorced,68,6,29,0,2,Personal Auto,Personal L1,Offer1,Agent,432.4081,Four-Door Car,3
9402,20120.56053,Premium,Bachelor,Employed,M,84488,18673,Rural,Married,182,27,46,0,2,Corporate Auto,Corporate L2,Offer1,Agent,260.627146,SUV,3
2059,2124.173841,Basic,Bachelor,Unemployed,F,0,13808,Suburban,Married,65,4,56,1,1,Personal Auto,Personal L3,Offer1,Agent,439.001718,Four-Door Car,3
4233,7664.80924,Premium,High School or Below,Unemployed,M,0,22588,Suburban,Single,107,14,90,0,3,Personal Auto,Personal L3,Offer1,Agent,770.4,Four-Door Car,2
6198,7341.861257,Basic,High School or Below,Unemployed,F,0,19706,Rural,Married,104,1,48,3,7,Personal Auto,Personal L3,Offer1,Branch,82.041684,Sports Car,2
10727,2876.775085,Extended,Bachelor,Unemployed,M,0,193724,Suburban,Single,84,4,29,0,1,Personal Auto,Personal L1,Offer3,Branch,849.011958,Four-Door Car,2
5705,5439.804227,Basic,High School or Below,Employed,M,61546,194738,Rural,Married,68,4,27,0,3,Corporate Auto,Corporate L2,Offer4,Call Center,29.209521,Two-Door Car,1
1852,2124.173841,Basic,Bachelor,Unemployed,M,0,227883,Rural,Married,61,17,14,1,1,Personal Auto,Personal L3,Offer4,Web,60.5975,Two-Door Car,2
9201,3673.525732,Extended,Doctor,Employed,F,37384,188714,Urban,Married,93,30,66,1,1,Personal Auto,Personal L3,Offer2,Branch,354.455466,Four-Door Car,2
3587,7126.596501,Basic,College,Medical Leave,M,17483,217888,Suburban,Married,183,24,63,0,1,Personal Auto,Personal L1,Offer2,Web,1317.6,Luxury Car,1
1026,4525.365839,Basic,Bachelor,Medical Leave,M,10269,286764,Urban,Single,65,12,5,0,3,Personal Auto,Personal L1,Offer1,Agent,170.798204,Two-Door Car,2
8876,7385.359236,Basic,Bachelor,Employed,M,54289,138789,Suburban,Married,62,32,13,0,2,Personal Auto,Personal L2,Offer2,Call Center,430.093647,Four-Door Car,2
633,33473.34946,Basic,Bachelor,Employed,F,33190,187721,Suburban,Divorced,106,18,95,0,2,Personal Auto,Personal L3,Offer1,Web,508.8,SUV,2
4979,9706.375239,Extended,College,Employed,F,23649,17579,Urban,Married,122,2,69,0,6,Personal Auto,Personal L3,Offer1,Branch,535.606632,SUV,1
3993,17530.03658,Extended,College,Unemployed,M,0,191731,Suburban,Divorced,128,6,85,0,2,Personal Auto,Corporate L2,Offer1,Branch,595.2,SUV,2
5465,10209.9339,Extended,High School or Below,Employed,M,43736,178787,Suburban,Married,128,0,88,0,3,Personal Auto,Personal L1,Offer1,Branch,614.4,SUV,2
6613,10248.89802,Extended,College,Employed,M,52693,194722,Suburban,Married,129,1,0,0,5,Personal Auto,Personal L2,Offer1,Branch,619.2,SUV,2
10724,2935.988346,Basic,Bachelor,Medical Leave,M,16208,193734,Suburban,Married,65,7,87,0,1,Personal Auto,Personal L3,Offer2,Branch,350.4,Four-Door Car,2
8850,2582.408525,Basic,Bachelor,Employed,F,76731,198737,Urban,Married,64,2,68,0,1,Personal Auto,Personal L3,Offer2,Agent,201.455005,Four-Door Car,2
8276,6863.706694,Basic,College,Unemployed,M,0,292762,Suburban,Single,110,14,30,1,5,Personal Auto,Personal L3,Offer3,Branch,792,SUV,2
7638,8566.423522,Basic,High School or Below,Disabled,M,25539,1973,Suburban,Married,112,2,43,1,7,Personal Auto,Personal L2,Offer2,Agent,542.4,SUV,3
307,2523.959554,Basic,College,Medical Leave,M,16244,191736,Suburban,Married,68,4,85,0,1,Personal Auto,Personal L3,Offer4,Call Center,623.223617,Two-Door Car,2
4150,4150.836913,Premium,High School or Below,Employed,F,53787,171784,Suburban,Married,104,20,77,0,1,Corporate Auto,Corporate L2,Offer1,Agent,666.092015,Four-Door Car,2
